country,Period,Age (x),Age interval (n),nmx,nqx,npx,lx,ndx,nLx,nSx,Tx,e0x,nax
Ethiopia,2095-2100,35,5,0.00110716,0.00552139,0.99447861,98318.836,542.857,490314.351,0.9935641,4844647.727,49.2749,2.6424
Ethiopia,2095-2100,40,5,0.00146897,0.00731899,0.99268101,97775.979,715.622,487158.735,0.99196981,4354333.376,44.5338,2.5949
Ethiopia,2095-2100,45,5,0.00177161,0.00882054,0.99117946,97060.357,856.125,483246.756,0.98971483,3867174.641,39.843,2.5996
Ethiopia,2095-2100,50,5,0.00241191,0.01199075,0.98800925,96204.233,1153.561,478276.479,0.98617569,3383927.885,35.1744,2.6207
Ethiopia,2095-2100,55,5,0.00323912,0.01607331,0.98392669,95050.671,1527.779,471664.638,0.97980059,2905651.406,30.5695,2.651
Ethiopia,2095-2100,60,5,0.00514343,0.02541591,0.97458409,93522.892,2376.969,462137.293,0.96681193,2433986.768,26.0256,2.6957
Ethiopia,2095-2100,65,5,0.00872557,0.04277297,0.95722703,91145.924,3898.582,446799.846,0.94316989,1971849.475,21.634,2.7095
Ethiopia,2095-2100,70,5,0.01534037,0.07409459,0.92590541,87247.342,6464.556,421408.161,0.90148123,1525049.63,17.4796,2.7062
Ethiopia,2095-2100,75,5,0.02736621,0.12869316,0.87130684,80782.786,10396.192,379891.547,0.82859125,1103641.469,13.6618,2.6893
Ethiopia,2095-2100,80,5,0.05004059,0.22378575,0.77621425,70386.594,15751.517,314774.811,0.71243364,723749.922,10.2825,2.641
Ethiopia,2095-2100,85,5,0.08880242,0.36450009,0.63549991,54635.077,19914.491,224256.164,0.55665631,408975.111,7.4856,2.5435
Ethiopia,2095-2100,90,5,0.14987972,0.53887414,0.46112586,34720.587,18710.026,124833.608,0.3841064,184718.947,5.3202,2.3934
Ethiopia,2095-2100,95,5,0.23831414,0.7137175,0.2862825,16010.561,11427.017,47949.388,0.199313391,59885.339,3.7404,2.1906
Ethiopia,2095-2100,100,-1,0.384009831,...,...,4583.543,4583.543,11935.95,...,11935.95,2.6041,2.6041
Kenya,2095-2100,0,1,0.00631539,0.00627854,0.99372146,100000,627.854,99416.525,0.99275421,8196726.535,81.9673,0.0707
Kenya,2095-2100,1,4,0.0005347,0.00213596,0.99786404,99372.146,212.255,396960.582,0.99834158,8097310.011,81.4847,1.5124
Kenya,2095-2100,5,5,0.0001982,0.00099052,0.99900948,99159.891,98.22,495553.906,0.99908989,7700349.429,77.6559,2.5
Kenya,2095-2100,10,5,0.00016599,0.00082963,0.99917037,99061.671,82.184,495102.896,0.99895433,7204795.523,72.7304,2.5
Kenya,2095-2100,15,5,0.00027475,0.0013729,0.9986271,98979.487,135.889,494585.18,0.99823431,6709692.627,67.7887,2.7021
Kenya,2095-2100,20,5,0.00043918,0.00219367,0.99780633,98843.598,216.83,493711.896,0.99737397,6215107.447,62.8782,2.6659
Kenya,2095-2100,25,5,0.00061206,0.00305582,0.99694418,98626.768,301.385,492415.392,0.9965563,5721395.551,58.0106,2.6162
Kenya,2095-2100,30,5,0.00077182,0.00385196,0.99614804,98325.382,378.745,490719.659,0.99558023,5228980.158,53.1804,2.6046
Kenya,2095-2100,35,5,0.00101897,0.00508256,0.99491744,97946.637,497.82,488550.792,0.99396761,4738260.499,48.3759,2.6249
Kenya,2095-2100,40,5,0.00141979,0.00707503,0.99292497,97448.817,689.454,485603.662,0.99193972,4249709.707,43.6097,2.6207
Kenya,2095-2100,45,5,0.0018447,0.00918333,0.99081667,96759.363,888.573,481689.559,0.98888031,3764106.045,38.9017,2.6285
Kenya,2095-2100,50,5,0.00267973,0.01331423,0.98668577,95870.79,1276.446,476333.322,0.98460234,3282416.487,34.2379,2.6336
Kenya,2095-2100,55,5,0.00359739,0.01783587,0.98216413,94594.345,1687.172,468998.905,0.97787901,2806083.165,29.6644,2.6453
